Posição,Livro,Autor,Preço,Avaliação,Número Reviews
1,É Assim que Acaba,Colleen Hoover,37.42,4.8,15273
2,Amor & Gelato: 1,Jenna Evans Welch,30.0,4.7,11300
3,A garota do lago,Charlie Donlea,8.5,4.7,25492
4,Spy X Family Vol. 7,Tatsuya Endou,23.4,4.9,325
5,PING PONG VOL. 1,TAYO MATSUMOTO,67.4,4.8,90
6,12 regras para a vida: Um antídoto para o caos,Jordan B. Peterson,29.59,4.8,8734
7,O homem mais rico da Babilônia,George S Clason,16.9,4.9,17847
8,O Hobbit + pôster,J.R.R. Tolkien,29.9,4.9,15941
9,"O jogo do amor ""Ódio""",Sally Thorne,31.75,4.6,9048
10,"Heartstopper: Dois garotos, um encontro (vol. 1): Inspiração para a série da Netflix",Alice Oseman,38.94,4.8,4664
11,Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,Napoleon Hill,23.78,4.7,22451
12,A bruxa não vai para a fogueira neste livro,Amanda Lovelace,17.5,4.6,3811
13,Mulheres que correm com os lobos,Clarissa Pinkola Estés,34.9,4.8,21922
14,Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas,T. Harv Eker,29.9,4.8,18254
15,As cinco linguagens do amor - 3 edição: Como expressar um compromisso de amor a seu cônjuge,Gary Chapman,32.3,4.8,9735
16,Até o verão terminar,Colleen Hoover,28.7,4.7,2789
17,Mil beijos de garoto (Sucesso do TikTok),Tillie Cole,23.87,4.6,7754
18,Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,34.84,4.8,20470
19,Harry Potter e a pedra filosofal,J.K. Rowling,24.7,4.9,17520
20,Verity,Colleen Hoover,27.9,4.7,7550
21,Torto arado,Itamar Vieira Junior,36.51,4.8,22718
22,Do Mil ao Milhão. Sem Cortar o Cafezinho.,Thiago Nigro,17.9,4.7,21770
23,Mindset: A nova psicologia do sucesso,Carol S. Dweck,38.4,4.7,16430
24,Todas as suas (im)perfeições,Colleen Hoover,37.42,4.8,8022
25,Quem pensa enriquece - o legado: O legado,Napoleon Hill,19.9,4.8,6484
26,As obras revolucionárias de George Orwell - Box com 3 livros,George Orwell,22.9,4.8,6553
27,Hábitos atômicos: Um método fácil e comprovado de criar bons hábitos e se livrar dos maus,James Clear,32.16,4.8,5364
28,A teia de Charlotte,E. B. White,34.94,4.9,850
29,"A coragem de ser imperfeito: Como aceitar a própria vulnerabilidade, vencer a vergonha e ousar ser quem você é",Brené Brown,29.99,4.7,9811
30,O Cérebro da Criança: 12 estratégias revolucionárias para nutrir a mente em desenvolvimento do seu filho e ajudar sua família a prosperar,Daniel J. Siegel,29.25,4.8,5026
31,Duelo dos imortais (Deuses do Egito),Colleen Houck,19.0,4.7,370
32,"Novembro, 9",Colleen Hoover,27.9,4.7,4597
33,O poder do hábito,Charles Duhigg,47.9,4.8,18205
34,Especialista em pessoas: Soluções bíblicas e inteligentes para lidar com todo tipo de gente,Tiago Brunet,26.56,4.8,3944
35,Flores Para Algernon,Daniel Keyes,47.62,4.8,12873
36,Heartstopper: Um passo adiante (vol. 3): Inspiração para a série da Netflix,Alice Oseman,49.25,4.9,1493
37,Perigoso!,Tim Warnes,18.89,4.9,5790
38,Eu e esse meu coração,C. C. Hunter,26.9,4.7,4124
39,Como fazer amigos e influenciar pessoas,Dale Carnegie,36.99,4.8,5590
40,O lado feio do amor,Colleen Hoover,31.2,4.7,10003
41,Era uma vez um coração partido,Stephanie Garber,34.88,4.8,203
42,Imperfeitos,Christina Lauren,31.9,4.5,171
43,Ou Isto ou Aquilo - Capa Dura,Cecília Meireles,40.71,4.9,2957
44,Menina Má: Nascemos todos inocentes e somos corrompidos pelo mundo à nossa volta?,William March,28.5,4.7,1505
45,AS 48 LEIS DO PODER (CAPA DURA),ROBERT GREENE,62.9,4.8,2148
46,As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,Haemin Sunim,36.99,4.7,6458
47,O casal que mora ao lado,Shari Lapena,9.99,4.2,883
48,Daisy Jones and The Six: Uma história de amor e música,Taylor Jenkins Reid,24.5,4.7,7698
49,As mil partes do meu coração,Colleen Hoover,28.9,4.7,2979
50,Cartas de um diabo a seu aprendiz,C. S. Lewis,23.9,4.8,9985
51,A gente mira no amor e acerta na solidão,Ana Suy,31.65,4.8,334
52,"Cabeça Fria, Coração Quente","Vitor Castanheira Abel Ferreira, Carlos Martinho, João Martins, Tiago Costa",70.99,4.9,1439
53,Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,Gustavo Ferreira,22.62,4.5,4567
54,"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade",Morgan Housel,22.9,4.8,3229
55,Heartstopper: Minha pessoa favorita (vol. 2): Inspiração para a série da Netflix,Alice Oseman,41.84,4.9,2335
56,O diário de Anne Frank,Anne Frank,11.99,4.8,4797
57,A Escola do Bem e do Mal – Vol. 1: Volume 1,Soman Chainani,37.91,4.7,400
58,A revolução dos bichos: Um conto de fadas,George Orwell,14.1,4.9,28075
59,Ego transformado,Timothy Keller,13.45,4.8,7116
60,Cristianismo puro e simples,C. S. Lewis,22.9,4.9,7968
61,Leitura de verão,Emily Henry,43.1,4.8,13
62,Provérbios em Fábulas,Paulo Debs,24.05,4.8,546
63,Box Percy Jackson e os Olimpianos - Capa Nova: (Série Percy Jackson e os Olimpianos),Rick Riordan,161.9,4.8,9821
64,"A coragem de não agradar: Como a filosofia pode ajudar você a se libertar da opinião dos outros, superar suas limitações e se tornar a pessoa que deseja",Ichiro Kishimi,29.92,4.7,4876
65,A cesta de dona Maricota,Tatiana Belinky,19.06,4.8,1684
66,Por lugares incríveis,Jennifer Niven,21.9,4.8,6223
67,Tudo é rio,Carla Madeira,34.7,4.8,9072
68,O poder do subconsciente,Joseph Murphy,26.1,4.8,5076
69,Como convencer alguém em 90 segundos: Crie uma primeira impressão vendedora,Nicholas Boothman,15.9,4.7,4846
70,Bruxa Natural,Arin Murphy-Hiscock,37.5,4.8,2557
71,O príncipe cruel (Vol. 1 O Povo do Ar),Holly Black,28.8,4.8,11022
72,O morro dos ventos uivantes,Emily Brontë,13.6,4.6,19293
73,Grama (Reimpressão),Keum Suk Gendry-Kim,59.4,4.9,1670
74,A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,Ana Claudia Quintana Arantes,29.99,4.8,8532
75,Manual de persuasão do FBI,Jack Shafer,25.83,4.7,2119
76,Apertada e sem espaço,Julia Donaldson,28.88,4.8,1165
77,Comunicação não violenta - Nova edição: Técnicas para aprimorar relacionamentos pessoais e profissionais,Marshall B. Rosenberg,49.9,4.8,838
78,Harry Potter e a Câmara Secreta,J.K. Rowling,22.9,4.9,12242
79,"Vermelho, branco e sangue azul",Casey McQuiston,34.5,4.8,16834
80,Os Dois Morrem No Final,Adam Silvera,41.18,4.7,2060
81,O livro das virtudes para crianças,William Bennett,31.9,4.8,3267
82,Laurentino Gomes,Laurentino Gomes,59.4,0.0,0
83,Por que fazemos o que fazemos?,Mario Sergio Cortella,9.99,4.6,4831
84,Box Trilogia O Senhor dos Anéis,J.R.R. Tolkien,105.9,4.8,12912
85,A Escola do Bem e do Mal – Vol. 2: Um mundo sem príncipes: Volume 2,Soman Chainani,34.72,4.7,235
86,"Rastro de Sangue: Jack, o Estripador: O assassino mais perigoso da história espera por você: 1",Kerri Maniscalco,45.9,4.7,1180
87,Jogador Número Dois: Duologia Jogador Número Um – Vol. 2,Ernest Cline,20.3,4.5,717
88,A Biblioteca da Meia-Noite,Matt Haig,37.31,4.7,2831
89,HARUICHI FURUDATE,HARUICHI FURUDATE,34.94,0.0,0
90,"Talvez você deva conversar com alguém: Uma terapeuta, o terapeuta dela e a vida de todos nós",Lori Gottlieb,44.84,4.8,8375
91,Rápido e devagar: Duas formas de pensar,Daniel Kahneman,55.94,4.7,8020
92,O poder da ação,Paulo Vieira,19.3,4.7,9259
93,O pequeno príncipe,Antoine de Saint-Exupéry,11.6,4.9,2986
94,Lady Killers: Assassinas em Série: As mulheres mais letais da história - Em uma edição igualmente matadora,Tori Telfer,41.8,4.9,10051
95,Como cuidar do seu dinheiro,Thiago Nigro,9.99,4.8,1689
96,As armas da persuasão: Como influenciar e não se deixar influenciar,Robert Cialdini,38.58,4.8,5832
97,Roube como um artista: 10 dicas sobre criatividade,Austin Kleon,22.9,4.7,7405
98,Ansiedade: Como enfrentar o mal do século,Augusto Cury,14.78,4.7,5756
99,Box O povo do ar - acompanha brindes,Holly Black,105.7,4.8,3616
100,Uma Vida com Propósitos,Rick Warren,41.9,4.8,2539
